S_No,Location_Name,Simple_Accidents,Fatal_Accidents,Total_Accidents,Road_Name,Is_Pedestrian_Prone,Is_TwoWheeler_Prone,Is_Cyclist_Prone,Circle_Name,Circle_Fatal_Accidents,Circle_Top_Offending_Vehicles,Circle_Top_Victims,Circle_Top_Roads,Circle_Vulnerable_Time_Slots
41,JANAK PURI EAST,8,3,11,NAJAFGARH ROAD,0,0,0,,,,,,
42,KALINDI KUNJ,19,3,22,ROAD NO 13A,0,1,0,,,,,,
43,KALKAJI BUS STOP,11,2,13,OUTER RING ROAD,0,0,0,KALKAJI,34,UNKNOWN VEHICLE; TEMPO,SCOOTERIST/M.CYCLIST (15); PEDESTRIAN; SELF (2),ANAND MAI MARG; OUTER RING ROAD; M.B ROAD (4),0000-0100 (3); 2100-2200 (6); 0900-1000
44,KALKAJI MANDIR,5,3,8,OUTER RING ROAD,0,0,0,KALKAJI,34,UNKNOWN VEHICLE; TEMPO,SCOOTERIST/M.CYCLIST (15); PEDESTRIAN; SELF (2),ANAND MAI MARG; OUTER RING ROAD; M.B ROAD (4),0000-0100 (3); 2100-2200 (6); 0900-1000
45,KATWARIA SARAI RED LIGHT,5,3,8,ARUNA ASAF ALI MARG,0,0,0,,,,,,
46,KHAJOORI CHOWK,16,4,20,WAZIRABAD ROAD,1,0,0,,,,,,
47,KHICHADI PUR,8,2,10,NH-24,0,0,0,,,,,,
48,KHYBER PASS,1,3,4,RING ROAD,0,0,0,CIVIL LINES,54,UNKNOWN VEHICLE (32),SCOOTERIST/M.CYCLISTS,OUTER RING ROAD; BULOYARD ROAD (6); WAZIRABAD PULL,0400-0500 (5)
49,KINGS WAY CAMP CHOWK,10,2,12,RING ROAD,0,0,0,,,,,,
50,KIRARI MORE,10,0,10,ROHTAK ROAD,0,0,0,,,,,,
51,LIBASPUR BUS STAND,6,10,16,GTK ROAD,1,0,0,,,,,,
52,MADHUBAN CHOWK,8,3,11,OUTER RING ROAD,0,0,0,,,,,,
53,MAHIPALPUR FLYOVER,7,2,19,NHB,1,0,0,,,,,,
54,MAJNU KATILLA,6,8,14,OUTER RING ROAD,0,0,0,,,,,,
55,MANGLAM HOSPITAL BUS STAND,1,2,13,NH-24,0,0,0,KALYAN PURI,35,UNKNOWN VEHICLE (13); SC/M.CYCLISTS; TAXI,SCOOTERIST/M.CYCLIST (13); SC/M.CYCLISTS,NH-24; KOTLA ROAD,2300-2400; 0100-0200; 0200-0300 (3)
56,MANGOL PURI FLYOVER,4,3,7,OUTER RING ROAD,0,0,0,,,,,,
57,MAYA PURI CHOWK,5,3,8,RING ROAD,0,0,0,,,,,,
58,MAYUR VIHAR EXTENSION NOIDA LINK ROAD,3,3,6,NOIDA LINK ROAD,0,0,0,KALYAN PURI,35,UNKNOWN VEHICLE (13); SC/M.CYCLISTS; TAXI,SCOOTERIST/M.CYCLIST (13); SC/M.CYCLISTS,NH-24; KOTLA ROAD,2300-2400; 0100-0200; 0200-0300 (3)
59,METRO STATION MADIPUR,8,4,12,ROHTAK ROAD,0,0,0,,,,,,
60,MODEL TOWN IIIRD,9,1,10,RING ROAD,0,0,0,,,,,,
61,MOOL CHAND,13,4,17,RING ROAD,0,0,1,LAJPAT NAGAR,37,UNKNOWN VEHICLE (20); SC/M.CYCLISTS,SC/M.CYCLISTS,MATHURA ROAD (4); RING ROAD; NOIDA DND ROAD,2100-2200 (6); 0300-0400; 0500-0600 (3); 2200-2300
62,MOTI BAGH FLYOVER,10,4,14,RING ROAD,0,0,0,,,,,,
63,MUKHAND PUR CHOWK,3,6,19,OUTER RING ROAD,0,1,0,,,,,,
64,MUKHARBA CHOWK,19,5,24,GTK ROAD,0,1,1,,,,,,
65,MUNIRKA,13,1,14,OUTER RING ROAD,0,0,0,,,,,,
66,NAWADA VILLAGE,9,1,10,NAJAFGARH ROAD,0,0,0,,,,,,
67,NEAR HALDI RAM WAZIRPUR,5,4,9,RING ROAD,0,0,0,ASHOK VIHAR,49,UNKNOWN VEHICLE; BUS DTC,SCOOTERIST/M.CYCLISTS; PEDESTRIAN; CYCLIST,RING ROAD; ROAD NO 43,0000-0100; 2300-2400; 1900-2000
68,NIGAM BODH GHAT,5,3,8,RING ROAD,0,0,1,CIVIL LINES,54,UNKNOWN VEHICLE (32),SCOOTERIST/M.CYCLISTS,OUTER RING ROAD; BULOYARD ROAD (6); WAZIRABAD PULL,0400-0500 (5)
69,NTPC COLONY,6,3,9,MATHURA ROAD,0,0,0,,,,,,
70,OKHLA DTC BUS DEPOT,5,3,8,ANAND MAI MARG,0,0,0,KALKAJI,34,UNKNOWN VEHICLE; TEMPO,SCOOTERIST/M.CYCLIST (15); PEDESTRIAN; SELF (2),ANAND MAI MARG; OUTER RING ROAD; M.B ROAD (4),0000-0100 (3); 2100-2200 (6); 0900-1000
71,OKHLA MORE,9,1,10,BADARPUR,0,0,0,KALKAJI,34,UNKNOWN VEHICLE; TEMPO,SCOOTERIST/M.CYCLIST (15); PEDESTRIAN; SELF (2),ANAND MAI MARG; OUTER RING ROAD; M.B ROAD (4),0000-0100 (3); 2100-2200 (6); 0900-1000
72,PEERAGARHI CHOWK,14,3,17,OUTER RING ROAD,0,0,0,,,,,,
73,PUNJABI BAGH CHOWK,12,6,18,RING ROAD,0,1,1,,,,,,
74,RADISSON HOTEL,8,5,18,NH-8,0,0,0,KAPASHERA,29,UNKNOWN VEHICLE (9); HTV'S; TEMPO; BUS OTHER; LGV,,NH-8,
75,RAJA HARISHCHANDER HOSPITAL,9,5,14,DSIDC NARELA ROAD,1,0,0,NARELA,83,HTV'S,S/M.CYCLISTS; PEDESTRIAN,NARELA ROAD; GTK ROAD,2200-2300; 2000-2100; 1400-1500
76,RAJGHAT,11,6,17,RING ROAD,0,0,0,DARYAGANJ,28,UNKNOWN VEHICLE (13); BUS OTHER (2),PEDESTRIAN,RING ROAD,0000-0100
77,RAJOUKARI FLYOVER,10,8,18,NH-8,0,0,0,,,,,,
78,RAJOURI GARDEN,6,6,12,RING ROAD,1,0,0,,,,,,
79,RAM CHARAN AGGARWAL CHOWK,8,5,13,BSZ MARG,1,0,0,DARYAGANJ,28,UNKNOWN VEHICLE (13); BUS OTHER (2),PEDESTRIAN,RING ROAD,0000-0100
80,RML HOSPITAL,6,4,10,BKS MARG,1,0,0,,,,,,
81,ROUND ABOUT BHAIRAON ENCLAVE,9,1,10,OUTER RING ROAD,0,0,0,,,,,,
82,RTR FLYOVER VASANT VIHAR,10,1,11,OUTER RING ROAD,0,0,1,,,,,,
83,SANJAY T-POINT,8,3,11,NH-8,0,0,0,KAPASHERA,29,UNKNOWN VEHICLE (9); HTV'S; TEMPO; BUS OTHER; LGV,,NH-8,
