S_No,Location_Name,Simple_Accidents,Fatal_Accidents,Total_Accidents
1,SHASTRI NAGAR METRO STATION,0,2,2
2,RTR FLYOVER VASANT VIHAR,1,1,2
3,PUNJABI BAGH CHOWK,1,1,2
4,NIGAM BODH GHAT,1,1,2
5,HARKESH NAGAR,1,1,2
6,BHALSWA CHOWK,1,1,2
7,SHYAM LAL COLLEGE,2,0,2
8,PEERA GARHI CHOWK,2,0,2
9,MUKHARBA CHOWK,2,0,2
10,MOOL CHAND,2,0,2
11,JAITPUR MORE,2,0,2
