Stretch,Fatal_2021,Fatal_2022,Fatal_2023,Simple_2021,Simple_2022,Simple_2023,NonInjury_2021,Noninjury_2022,Noninjury_2023,Total_2021,Total_2022,Total_2023
Azadpur To Dhaula Kuan,,,,,,,,,,134,,
Dhaula Kuan To I.P. Depot,21,29,34,68,76,96,3,3,9,92,108,139
I.P. Depot To I.P. College,18,18,24,41,50,57,0,0,2,59,68,83
I.P. College To Azad Pur,8,13,9,21,25,18,0,0,1,29,39,28
