S_No,Zone_Type,Number_Prone_Zones
1,Multi-Level Intersection,24
2,Intersection,19
3,T-Intersection,12
4,Road Stretch,10
5,Metro Station,10
6,Bus-Stand,6
7,Round About,5
8,Staggered Intersection,5
9,Highway Village,5
10,Flyover,5
11,Exchange Hub,5
12,Hospital,1
