S_No,Zone_Name,Simple_Crashes,Fatal_Crashes,Total_Crashes
1,Metro Station Haiderpur,,,
2,Mukarba Chowk,,,
3,Metro Station Madipur,,,
4,Wazirpur Depot,,,
5,Dabri Flyover,,,
6,Haryana Maitri Bhawan,,,
7,Vijay Vihar Rohini,,,
8,Kashmiri Gate Chowk,,,
9,Sagarpur Bus Stand,,,
