S_No,Road_Name,Fatal_Crashes,Total_Crashes_2023,Total_Crashes_2022
1,Ring Road,122,396,125
2,Outer Ring Road,106,326,109
3,GTK Road,74,205,82
4,Rohtak Road,56,166,57
5,Najaf Garh Road,39,161,39
6,Pusta Road,28,99,28
7,Grant Trunk Road,25,103,27
8,Wazirabad Road,23,96,25
9,Mathura Road,23,93,23
10,Bawana Road,21,79,21
