S_No,Zone_Name,Simple_Crashes,Fatal_Crashes,Total_Crashes
1,Akshardham Mandir,,,
2,Raja Harishchander Hospital,,,
3,Udhog Nagar,,,
4,Rajouri Garden,,,
5,District Center Janakpuri,,,
6,Shamshan Ghat Punjabi Bagh,,,
7,Modi Mill Flyover,,,
8,Shastri Park/It Park,,,
