S_No,Zone_Name,Simple_Crashes,Fatal_Crashes,Total_Crashes
1,DTC Bus Depot Nand Nagri,,,
2,Rajouri Garden,1,3,4
3,Libaspur Bus Stand,3,2,5
4,Ber Sarai Flyover,2,2,4
5,Shastri Park/IT Park,5,1,6
6,Swaroop Nagar,3,1,4
