S_No,Crash_Prone_Zone,Simple_Crashes,Fatal_Crashes,Total_Crashes
1.,Libas Pur Bus Stand,1,3,4
2.,Zakhira Flyover,1,2,3
3.,Maya Puri Chowk,1,2,3
4.,Okhla More,2,1,3
5.,Gandhi Vihar Bus Stand,3,0,3
