S_No,Road_Section,Fatal_2019,Fatal_2020,Fatal_2021,Simple_2019,Simple_2020,Simple_2021,Non_Injury_2019,Non_Injury_2020,Non_Injury_2021,Total_2019,Total_2020,Total_2021
1,Azadpur to Dhaula Kuan,48,41,38,94,69,62,1,0,0,143,110,100
2,Dhaula Kuan to I. P. Depot,29,23,21,84,58,68,4,2,3,117,83,92
3,I.P. Depot to I. P. College,17,10,18,46,37,41,1,0,0,64,47,59
4,I. P. College to Azadpur,13,11,8,45,36,21,0,0,0,58,47,29
