S_No,Zone_Name,Simple_Accidents,Fatal_Accidents,Total_Accidents
1,JASOLA VIHAR,0,2,2
2,MAJLIS PARK METRO STATION,1,1,2
3,KAKROLA DWARKA MORE,2,0,2
4,JANAKPURI EAST,2,0,2
5,ISBT KASHMIRI GATE,2,0,2
