S_No,Zone_Name,Simple_Accidents,Fatal_Accidents,Total_Accidents
1,LIBAS PUR BUS STAND,4,3,7
2,MUKARBA CHOWK,1,3,4
3,SHASTRI PARK/IT PARK,3,2,5
4,BHALSWA CHOWK,2,2,4
5,TIKRI VILLAGE,1,2,3
6,INDIRA KALYAN VIHAR RED LIGHT,1,2,3
7,AZADPUR SABZI MANDI,1,2,3
8,MUKUND PUR CHOWK,4,1,5
9,OKHLA MORE,2,1,3
10,SWAROOP NAGAR,4,0,4
11,SANJAY T-POINT,3,0,3
12,KALINDI KUNJ,3,0,3
13,JAHANGIR PURI METRO STATION,3,0,3
