S_No,Zone_Name,Simple_Accidents,Fatal_Accidents,Total_Accidents
1,NIRANKARI COLONY,7,5,12
2,MUKUND PUR CHOWK,8,4,12
3,WAZIRABAD,8,4,12
4,BURARI CHOWK,7,4,11
5,SHASTRI PARK/IT PARK,8,4,12
6,MUKARBA CHOWK,7,4,11
7,TOLL PLAZA BADARPUR,8,4,12
8,MOOL CHAND,6,4,10
9,NARAINA,6,4,10
10,ITO/IP FLYOVER,5,4,9
11,RAJDHANI PARK,5,3,8
12,ITI DHEERPUR,4,3,7
13,ANAND VIHAR ISBT,4,3,7
14,DEEPALI CHOWK,4,3,7
15,GOKALPURI,10,0,10
